Customer_ID,Age,Gender,City,Subscription_Type,Monthly_Spending,Tenure,Number_of_Purchases,Customer_Support_Requests,Login_Frequency,Last_Activity_Date,Satisfaction_Score,Churn_Status
CUST-0001,56,Female,Los Angeles,Basic,21.18,33,5,7,14,2026-05-06,5,1
CUST-0002,69,Male,Los Angeles,Standard,44.93,1,3,2,4,2026-06-03,3,1
CUST-0003,46,Male,Miami,Standard,39.98,45,13,1,21,2026-01-31,4,0
CUST-0004,32,Male,Houston,Premium,62.4,3,2,1,20,2026-01-19,4,1
CUST-0005,60,Female,Los Angeles,Premium,68.85,42,14,4,2,2026-06-13,3,0
CUST-0006,25,Male,New York,Standard,30.24,21,14,9,12,2026-04-08,5,0
CUST-0007,38,Female,Chicago,Standard,40.95,35,8,6,1,2026-01-12,3,0
CUST-0008,56,Female,New York,Premium,68.33,41,4,7,24,2026-01-27,2,1
CUST-0009,36,Female,Chicago,Basic,10.93,40,12,9,20,2026-03-11,1,1
CUST-0010,40,Male,Chicago,Basic,16.75,3,13,7,5,2026-04-03,1,1
CUST-0011,28,Female,Los Angeles,Basic,13.07,25,6,7,6,2026-04-03,5,1
CUST-0012,28,Male,Los Angeles,Premium,63.5,45,11,9,30,2026-02-20,3,0
CUST-0013,41,Male,New York,Premium,64.74,38,13,2,24,2025-12-27,4,0
CUST-0014,53,Male,Chicago,Basic,14.54,45,5,1,11,2026-04-19,4,0
CUST-0015,57,Male,New York,Standard,36.9,55,9,3,8,2026-05-12,4,0
CUST-0016,41,Female,Houston,Basic,14.19,20,14,0,7,2026-03-29,2,0
CUST-0017,20,Female,New York,Basic,15.54,52,4,2,4,2026-06-06,2,1
CUST-0018,39,Male,Miami,Premium,57.39,44,6,8,6,2026-03-14,4,1
CUST-0019,19,Male,New York,Basic,23.28,45,10,6,16,2026-02-07,5,1
CUST-0020,41,Male,Miami,Basic,10.15,34,5,6,20,2026-02-20,2,1
CUST-0021,61,Male,Miami,Standard,43.24,21,9,0,15,2026-04-19,2,1
CUST-0022,47,Female,Miami,Standard,38.58,56,1,6,14,2026-02-05,1,1
CUST-0023,55,Male,Houston,Basic,14.97,55,12,9,23,2026-02-13,1,1
CUST-0024,19,Male,New York,Standard,40.85,48,12,6,12,2026-03-01,5,0
CUST-0025,38,Male,New York,Standard,37.62,23,12,3,29,2026-03-02,2,0
CUST-0026,50,Female,Houston,Basic,17.49,6,2,6,12,2026-05-20,2,1
CUST-0027,29,Female,Chicago,Basic,11.65,51,1,7,16,2026-05-07,3,0
CUST-0028,39,Female,Los Angeles,Standard,35.84,53,11,2,15,2026-02-19,5,1
CUST-0029,61,Female,New York,Basic,13.62,13,2,9,29,2025-12-23,5,1
CUST-0030,42,Female,Los Angeles,Premium,55.24,49,0,1,13,2026-03-31,3,0
CUST-0031,66,Male,Houston,Premium,60.4,23,7,6,11,2026-06-08,3,1
CUST-0032,44,Female,Chicago,Premium,56.35,9,5,4,30,2026-05-28,1,0
CUST-0033,59,Female,Chicago,Basic,13.85,17,12,4,17,2026-01-04,5,0
CUST-0034,45,Female,Chicago,Premium,56.39,2,1,4,21,2026-06-07,5,0
CUST-0035,33,Female,Houston,Basic,11.51,19,7,6,15,2026-04-12,3,0
CUST-0036,32,Female,Miami,Basic,12.99,19,5,8,14,2026-04-20,4,0
CUST-0037,64,Female,Miami,Basic,25.0,56,6,7,10,2026-02-21,4,1
CUST-0038,68,Female,Los Angeles,Basic,10.03,7,10,5,12,2026-03-24,1,0
CUST-0039,61,Female,Miami,Standard,39.58,54,0,6,16,2026-06-20,4,1
CUST-0040,69,Female,Miami,Basic,12.12,42,6,8,15,2026-02-15,4,0
CUST-0041,20,Female,Chicago,Basic,23.81,42,2,5,10,2026-05-20,4,0
CUST-0042,54,Male,Chicago,Standard,31.4,59,10,0,4,2026-01-31,2,1
CUST-0043,68,Female,Los Angeles,Basic,24.33,20,11,3,27,2026-01-11,1,0
CUST-0044,24,Male,New York,Standard,39.16,9,7,7,23,2026-05-20,3,1
CUST-0045,38,Female,Los Angeles,Basic,10.02,17,5,6,29,2026-04-26,4,1
CUST-0046,26,Female,Los Angeles,Premium,68.41,27,3,2,9,2026-01-20,2,0
CUST-0047,56,Female,Houston,Premium,62.83,47,10,9,21,2026-03-22,4,1
CUST-0048,35,Male,Houston,Basic,13.94,2,7,2,20,2026-06-17,2,1
CUST-0049,21,Male,Los Angeles,Basic,21.51,36,8,2,9,2026-05-29,1,1
CUST-0050,42,Male,Los Angeles,Basic,23.9,19,9,0,21,2026-05-23,4,0
CUST-0051,31,Female,Los Angeles,Premium,62.26,17,1,9,25,2026-03-15,2,1
CUST-0052,67,Male,Miami,Basic,14.73,5,14,0,24,2026-01-23,5,0
CUST-0053,26,Male,Houston,Basic,21.83,39,5,5,20,2026-05-22,5,0
CUST-0054,43,Male,Los Angeles,Basic,20.23,18,4,0,11,2026-03-23,2,1
CUST-0055,19,Female,Chicago,Basic,23.33,53,4,4,11,2026-01-24,4,0
CUST-0056,37,Female,Chicago,Basic,20.39,54,9,3,7,2026-01-28,4,0
CUST-0057,45,Male,Miami,Premium,58.65,59,10,4,21,2026-04-15,1,0
CUST-0058,64,Male,Miami,Basic,23.97,7,2,6,10,2025-12-26,1,0
CUST-0059,24,Female,New York,Basic,11.57,17,11,5,4,2026-03-12,3,1
CUST-0060,61,Female,New York,Premium,59.02,39,7,8,5,2026-04-24,1,0
CUST-0061,25,Female,New York,Premium,62.8,36,13,5,5,2025-12-31,4,0
CUST-0062,64,Male,Miami,Basic,18.49,40,7,8,11,2026-05-27,3,1
CUST-0063,52,Female,Miami,Basic,10.23,45,11,3,9,2026-05-29,1,1
CUST-0064,31,Male,Miami,Basic,21.71,4,4,0,28,2026-02-12,2,0
CUST-0065,34,Female,Chicago,Premium,60.42,38,7,0,16,2026-03-16,5,0
CUST-0066,53,Female,Miami,Basic,16.1,25,9,9,9,2026-01-29,1,1
CUST-0067,67,Male,Chicago,Premium,67.14,5,14,6,22,2026-02-13,1,1
CUST-0068,57,Male,New York,Standard,35.69,30,7,2,30,2026-04-01,2,0
